"Player","Pos","X3P","X3PA","X3P.","year"
"Steve Novak","SF",149,351,0.425,"2012"
"Dirk Nowitzki","PF",65,157,0.414,"2012"
"Kyle O'Quinn","C",0,1,0,"2012"
"Lamar Odom","PF",18,90,0.2,"2012"
"Travis Outlaw","SF",14,50,0.28,"2012"
"Zaza Pachulia","C",0,3,0,"2012"
"Jannero Pargo","PG",39,116,0.336,"2012"
"Jannero Pargo","PG",3,20,0.15,"2012"
"Jannero Pargo","PG",7,20,0.35,"2012"
"Jannero Pargo","PG",29,76,0.382,"2012"
"Jeremy Pargo","PG-SG",25,74,0.338,"2012"
"Jeremy Pargo","PG",18,57,0.316,"2012"
"Jeremy Pargo","SG",7,17,0.412,"2012"
"Tony Parker","PG",24,68,0.353,"2012"
"Chandler Parsons","SF",152,395,0.385,"2012"
"Patrick Patterson","PF",51,132,0.386,"2012"
"Patrick Patterson","PF",35,96,0.365,"2012"
"Patrick Patterson","PF",16,36,0.444,"2012"
"Chris Paul","PG",76,232,0.328,"2012"
"Sasha Pavlović","SG",18,60,0.3,"2012"
"Kendrick Perkins","C",0,1,0,"2012"
"Johan Petro","C",1,4,0.25,"2012"
"Paul Pierce","SF",145,382,0.38,"2012"
"Mickaël Piétrus","SF",20,64,0.313,"2012"
"Quincy Pondexter","SF",60,152,0.395,"2012"
"A.J. Price","PG",70,200,0.35,"2012"
"Ronnie Price","PG",10,39,0.256,"2012"
"Pablo Prigioni","PG",53,134,0.396,"2012"
"Tayshaun Prince","SF",38,94,0.404,"2012"
"Tayshaun Prince","SF",23,53,0.434,"2012"
"Tayshaun Prince","SF",15,41,0.366,"2012"
"Chris Quinn","SG",0,5,0,"2012"
"Vladimir Radmanović","PF",5,27,0.185,"2012"
"Anthony Randolph","PF",0,8,0,"2012"
"Zach Randolph","PF",2,23,0.087,"2012"
"J.J. Redick","SG",165,451,0.366,"2012"
"J.J. Redick","SG",117,300,0.39,"2012"
"J.J. Redick","SG",48,151,0.318,"2012"
"Jason Richardson","SG",57,167,0.341,"2012"
"Quentin Richardson","SF",1,4,0.25,"2012"
"Luke Ridnour","SG",66,212,0.311,"2012"
"Austin Rivers","SG",28,86,0.326,"2012"
